timestamp,R_angle(¦È),R_Torque Cmd,R_Torque Est,L_angle(¦È),L_Torque Cmd,L_Torque Est,L¦È Display,R¦È Display,L¦Ó Display,R¦Ó Display
-1.4222000000000001,0.15,0.0,0.0,0.07,0.0,0.0,0.1,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.4112,38.4,0.0,0.0,0.07,0.0,0.0,0.1,38.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.4002000000000001,72.58,0.0,0.0,0.07,0.0,0.0,0.1,72.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.3941999999999999,92.08,0.0,0.0,0.07,0.0,0.0,0.1,92.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.3791999999999998,11.75,0.0,0.0,0.06,0.0,0.0,0.1,11.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.3741999999999999,-3.72,0.0,0.0,0.06,0.0,0.0,0.1,-3.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.3602,-4.97,0.0,0.0,0.06,0.0,0.0,0.1,-5.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.3591999999999997,-4.92,0.0,0.0,0.06,0.0,0.0,0.1,-4.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.3512,-6.59,0.0,0.0,0.06,0.0,0.0,0.1,-6.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.3381999999999998,-3.04,0.0,0.0,0.07,0.0,0.0,0.1,-3.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.3322,-2.2,0.0,0.0,0.07,0.0,0.0,0.1,-2.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.3272,-0.04,0.0,0.0,0.07,0.0,0.0,0.1,-0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.3222,0.24,0.0,0.0,0.07,0.0,0.0,0.1,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.3102,0.21,0.0,0.0,-0.03,0.0,0.0,-0.0,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.3052000000000001,0.2,0.0,0.0,9.43,0.0,0.0,9.4,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.3022,0.19,0.0,0.0,12.27,0.0,0.0,12.3,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.2677,0.17,0.0,0.0,18.93,0.0,0.0,18.9,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.2556999999999998,0.16,0.0,0.0,-12.06,0.0,0.0,-12.1,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.2537,0.16,0.0,0.0,-15.64,0.0,0.0,-15.6,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.2327000000000001,0.14,0.0,0.0,-6.81,0.0,0.0,-6.8,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.2237,0.15,0.0,0.0,10.81,0.0,0.0,10.8,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.2197,0.15,0.0,0.0,24.08,0.0,0.0,24.1,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.2187000000000001,0.15,0.0,0.0,24.73,0.0,0.0,24.7,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.2177,0.15,0.0,0.0,24.93,0.0,0.0,24.9,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.1637,0.16,0.0,0.0,-0.15,0.0,0.0,-0.1,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.1627,0.16,0.0,0.0,-0.15,0.0,0.0,-0.1,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.1617,0.16,0.0,0.0,-0.15,0.0,0.0,-0.1,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.1606999999999998,0.16,0.0,0.0,-0.16,0.0,0.0,-0.2,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.1587,0.16,0.0,0.0,-0.17,0.0,0.0,-0.2,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.1577,0.16,0.0,0.0,-0.17,0.0,0.0,-0.2,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.1567,0.16,0.0,0.0,-0.17,0.0,0.0,-0.2,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.1556999999999997,0.16,0.0,0.0,-0.17,0.0,0.0,-0.2,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
-1.1472,0.16,0.0,0.0,-0.17,0.0,0.0,-0.2,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
