Time,L_IMU_Ang,R_IMU_Ang,L_IMU_Vel,R_IMU_Vel,L_Cmd,R_Cmd,L_Action,R_Action
0.008,-0.266,-0.721,-0.080,-0.075,-0.278,-0.311,-0.055,-0.061
0.018,-0.267,-0.722,-0.076,-0.071,-0.277,-0.311,-0.055,-0.061
0.028,-0.268,-0.723,-0.100,-0.095,-0.279,-0.312,-0.055,-0.061
0.038,-0.269,-0.724,-0.122,-0.090,-0.280,-0.312,-0.055,-0.061
0.048,-0.271,-0.725,-0.144,-0.141,-0.282,-0.315,-0.055,-0.061
0.058,-0.272,-0.727,-0.136,-0.161,-0.281,-0.316,-0.055,-0.061
0.068,-0.273,-0.728,-0.130,-0.153,-0.281,-0.315,-0.055,-0.061
0.078,-0.275,-0.730,-0.123,-0.145,-0.281,-0.315,-0.055,-0.061
0.088,-0.276,-0.731,-0.117,-0.138,-0.280,-0.315,-0.055,-0.061
0.098,-0.277,-0.733,-0.111,-0.131,-0.280,-0.314,-0.055,-0.061
0.108,-0.278,-0.734,-0.078,-0.152,-0.278,-0.315,-0.055,-0.061
0.118,-0.278,-0.735,-0.074,-0.144,-0.278,-0.315,-0.055,-0.061
0.128,-0.279,-0.737,-0.070,-0.137,-0.277,-0.315,-0.055,-0.061
0.138,-0.280,-0.738,-0.067,-0.158,-0.277,-0.316,-0.055,-0.061
0.148,-0.281,-0.740,-0.091,-0.177,-0.279,-0.317,-0.055,-0.061
0.158,-0.282,-0.742,-0.087,-0.169,-0.278,-0.316,-0.055,-0.061
0.168,-0.283,-0.744,-0.110,-0.188,-0.280,-0.318,-0.055,-0.061
0.178,-0.284,-0.746,-0.132,-0.233,-0.281,-0.320,-0.055,-0.061
0.188,-0.286,-0.749,-0.153,-0.249,-0.283,-0.321,-0.055,-0.061
0.198,-0.287,-0.752,-0.172,-0.291,-0.284,-0.323,-0.055,-0.061
0.208,-0.289,-0.755,-0.164,-0.332,-0.284,-0.326,-0.055,-0.061
0.218,-0.291,-0.758,-0.210,-0.315,-0.286,-0.325,-0.055,-0.061
0.228,-0.294,-0.761,-0.255,-0.327,-0.289,-0.326,-0.055,-0.061
0.238,-0.296,-0.765,-0.270,-0.393,-0.290,-0.329,-0.055,-0.061
0.248,-0.300,-0.769,-0.339,-0.373,-0.294,-0.329,-0.055,-0.061
0.258,-0.303,-0.774,-0.349,-0.519,-0.296,-0.337,-0.055,-0.061
0.268,-0.307,-0.782,-0.387,-0.741,-0.299,-0.349,-0.055,-0.061
0.278,-0.311,-0.791,-0.367,-0.978,-0.299,-0.361,-0.055,-0.060
0.288,-0.315,-0.802,-0.431,-1.067,-0.303,-0.366,-0.055,-0.060
0.298,-0.319,-0.812,-0.410,-1.013,-0.302,-0.364,-0.055,-0.060
0.308,-0.324,-0.822,-0.499,-0.990,-0.307,-0.363,-0.055,-0.060
0.318,-0.329,-0.832,-0.529,-0.996,-0.308,-0.364,-0.055,-0.060
0.328,-0.334,-0.841,-0.448,-0.946,-0.303,-0.361,-0.055,-0.061
0.338,-0.341,-0.850,-0.755,-0.871,-0.320,-0.358,-0.055,-0.061
0.348,-0.349,-0.857,-0.717,-0.718,-0.317,-0.350,-0.055,-0.061
0.358,-0.355,-0.863,-0.681,-0.572,-0.314,-0.342,-0.054,-0.061
0.368,-0.362,-0.868,-0.647,-0.543,-0.312,-0.341,-0.054,-0.061
0.378,-0.373,-0.873,-1.137,-0.461,-0.339,-0.338,-0.054,-0.062
0.388,-0.384,-0.877,-1.107,-0.411,-0.338,-0.335,-0.054,-0.062
0.398,-0.394,-0.881,-0.997,-0.390,-0.331,-0.333,-0.054,-0.062
0.408,-0.403,-0.885,-0.892,-0.371,-0.325,-0.332,-0.054,-0.062
