Time,L_IMU_Ang,R_IMU_Ang,L_IMU_Vel,R_IMU_Vel,L_Cmd,R_Cmd,L_Action,R_Action
0.007,2.655,0.035,0.227,0.532,0.081,0.829,0.013,0.159
0.185,2.657,0.040,0.215,0.505,0.081,0.828,0.013,0.159
0.188,2.660,0.046,0.314,0.562,0.087,0.830,0.013,0.159
0.191,2.664,0.052,0.354,0.589,0.089,0.831,0.013,0.159
0.194,2.667,0.058,0.363,0.642,0.089,0.834,0.013,0.159
0.198,2.671,0.065,0.373,0.665,0.089,0.835,0.013,0.159
0.201,2.675,0.071,0.409,0.631,0.092,0.833,0.013,0.159
0.204,2.679,0.077,0.416,0.627,0.092,0.832,0.013,0.159
0.208,2.684,0.083,0.423,0.623,0.092,0.832,0.013,0.159
0.211,2.688,0.090,0.429,0.647,0.092,0.833,0.013,0.159
0.214,2.692,0.096,0.435,0.642,0.093,0.833,0.013,0.159
0.217,2.696,0.103,0.413,0.665,0.091,0.834,0.013,0.159
0.220,2.701,0.110,0.420,0.659,0.091,0.834,0.013,0.159
0.223,2.705,0.116,0.399,0.626,0.090,0.832,0.013,0.159
0.227,2.708,0.122,0.379,0.595,0.089,0.831,0.013,0.159
0.230,2.712,0.128,0.388,0.593,0.090,0.830,0.013,0.159
0.233,2.716,0.133,0.368,0.563,0.089,0.829,0.013,0.159
0.236,2.719,0.139,0.350,0.535,0.088,0.827,0.013,0.159
0.239,2.723,0.144,0.360,0.536,0.088,0.827,0.013,0.159
0.242,2.727,0.149,0.369,0.536,0.089,0.827,0.013,0.159
0.251,2.731,0.155,0.378,0.510,0.090,0.825,0.013,0.159
0.259,2.734,0.160,0.359,0.512,0.088,0.826,0.013,0.159
0.268,2.738,0.165,0.369,0.486,0.089,0.824,0.013,0.159
0.273,2.742,0.169,0.378,0.489,0.090,0.824,0.013,0.159
0.276,2.745,0.175,0.359,0.520,0.088,0.826,0.013,0.159
0.279,2.749,0.180,0.396,0.549,0.090,0.827,0.013,0.159
0.282,2.753,0.186,0.404,0.549,0.090,0.827,0.013,0.159
0.285,2.757,0.191,0.411,0.521,0.091,0.825,0.013,0.159
0.289,2.761,0.196,0.418,0.523,0.091,0.825,0.013,0.159
0.297,2.766,0.201,0.424,0.496,0.092,0.824,0.013,0.159
0.307,2.770,0.206,0.431,0.499,0.092,0.824,0.013,0.159
0.317,2.774,0.211,0.437,0.502,0.093,0.824,0.013,0.159
0.327,2.779,0.216,0.442,0.477,0.093,0.822,0.013,0.159
0.337,2.783,0.221,0.448,0.480,0.093,0.822,0.013,0.158
0.347,2.788,0.225,0.453,0.456,0.094,0.820,0.013,0.158
0.357,2.792,0.230,0.430,0.488,0.092,0.823,0.013,0.158
0.367,2.796,0.235,0.436,0.491,0.092,0.823,0.013,0.158
0.377,2.801,0.240,0.469,0.494,0.094,0.822,0.013,0.158
0.387,2.806,0.245,0.446,0.470,0.093,0.821,0.013,0.158
